sex_male,race_white,years_experience,referred,gcse,a_level,russell_group,honours,years_volunteer,income,it_skills,years_gaps,quality_cv,employed_yes
0,1,0.2653280992486173,1,0.14881671113552827,1.1155465832714841,1,1,2.1398884732981323,-0.7407758648852337,-0.7126291305399174,1.4283925797585426,-0.9191428454016993,1
0,1,-1.1262528408665076,0,0.14881671113552827,1.1155465832714841,1,1,-0.7047622057289629,-0.22926181503394313,0.36303748159580684,-0.70406710637016,0.2539813988889187,0
1,0,-0.08256713578016395,1,0.14881671113552827,-1.0130205974023612,0,0,-0.7047622057289629,-1.3253633504295659,-1.7882957426756416,-0.70406710637016,0.2539813988889187,0
1,1,0.2653280992486173,1,-1.0651877304867268,0.05126299293456157,0,0,-0.7047622057289629,1.4148904880594908,0.36303748159580684,0.36216273669419136,-0.9191428454016993,0
1,1,-0.7783576058377264,1,-1.0651877304867268,0.05126299293456157,0,0,0.7175631337845847,0.7572295668221173,1.438704093731531,-0.70406710637016,1.4271056431795366,0
1,0,-1.4741480758952887,1,0.7558189319466558,0.05126299293456157,1,1,0.7175631337845847,-0.7407758648852337,1.438704093731531,-0.70406710637016,1.4271056431795366,0
0,1,-0.7783576058377264,1,0.7558189319466558,1.1155465832714841,1,1,-0.7047622057289629,-1.1061430433504413,0.36303748159580684,0.36216273669419136,0.2539813988889187,1
1,0,-0.43046237080894517,1,-0.45818550967559923,0.05126299293456157,0,0,-0.7047622057289629,0.501472541896472,1.438704093731531,-0.70406710637016,-2.0922670896923172,0
0,1,-0.7783576058377264,1,0.7558189319466558,1.1155465832714841,0,1,-0.7047622057289629,0.42839910620343047,0.36303748159580684,-0.70406710637016,0.2539813988889187,1
1,0,-1.4741480758952887,1,0.14881671113552827,1.1155465832714841,0,1,-0.7047622057289629,-1.1792164790434827,1.438704093731531,-0.70406710637016,0.2539813988889187,1
0,1,-0.43046237080894517,1,0.14881671113552827,0.05126299293456157,0,1,-0.7047622057289629,-0.3388719685735054,0.36303748159580684,0.36216273669419136,0.2539813988889187,0
0,1,-0.08256713578016395,0,1.3628211527577834,1.1155465832714841,0,1,-0.7047622057289629,0.0630319277382229,-0.7126291305399174,-0.70406710637016,-0.9191428454016993,1
1,0,-0.08256713578016395,0,-0.45818550967559923,-1.0130205974023612,0,1,-0.7047622057289629,1.1956701809803663,1.438704093731531,-0.70406710637016,0.2539813988889187,0
0,0,-0.43046237080894517,1,0.7558189319466558,1.1155465832714841,1,1,-0.7047622057289629,0.20917879912430593,0.36303748159580684,1.4283925797585426,-0.9191428454016993,0
1,1,-0.7783576058377264,1,0.7558189319466558,1.1155465832714841,0,0,0.7175631337845847,-0.5215555578061092,0.36303748159580684,-0.70406710637016,-0.9191428454016993,0
0,0,0.6132233342773985,0,0.7558189319466558,-2.077304187739284,0,0,-0.7047622057289629,-0.15618837934090163,0.36303748159580684,1.4283925797585426,-0.9191428454016993,0
0,0,0.9611185693061797,0,-0.45818550967559923,-1.0130205974023612,1,1,-0.7047622057289629,-0.44848212211306765,0.36303748159580684,2.4946224228228937,-0.9191428454016993,0
1,1,-0.08256713578016395,1,0.7558189319466558,1.1155465832714841,1,1,-0.7047622057289629,-0.5215555578061092,1.438704093731531,1.4283925797585426,-0.9191428454016993,1
0,1,0.6132233342773985,0,0.7558189319466558,1.1155465832714841,1,1,0.7175631337845847,1.232206898826887,-0.7126291305399174,0.36216273669419136,1.4271056431795366,1
1,0,-1.1262528408665076,1,-2.279192172108982,-2.077304187739284,0,0,-0.7047622057289629,-1.4715102218156488,0.36303748159580684,-0.70406710637016,1.4271056431795366,0
